               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12098,            0.024366,            0.043315,           0.0014921,             0.03169,          0.00097768,          0.00021296,             0.10231,            0.024694,            0.040009,             0.00325,             0.00325,             0.07075
                   1,            0.095721,            0.018702,            0.037887,            0.013878,             0.09507,            0.013778,           0.0027757,            0.096126,            0.017611,            0.041319,           0.0065182,           0.0065182,            0.040685
                   2,            0.080918,            0.017476,            0.036285,             0.18609,             0.24429,            0.083417,             0.02565,            0.080492,            0.018924,            0.036106,           0.0097203,           0.0097203,            0.010554
                   3,            0.073957,             0.01557,            0.033942,             0.24702,             0.38191,             0.20869,            0.055184,            0.071692,            0.017909,             0.03486,            0.009703,            0.009703,            0.009703
                   4,            0.064683,            0.013702,            0.030814,              0.3076,             0.58181,             0.42418,             0.15399,            0.065311,            0.015655,            0.029639,            0.009703,            0.009703,            0.009703
                   5,            0.061934,            0.012516,            0.027204,             0.55228,             0.50658,             0.33106,             0.14308,            0.056647,            0.015353,            0.025315,            0.009604,            0.009604,            0.009604
                   6,            0.055717,            0.013137,            0.024313,             0.31873,             0.65913,             0.42584,             0.18967,            0.052086,            0.013894,            0.025249,            0.009505,            0.009505,            0.009505
                   7,            0.057458,            0.011356,            0.023421,             0.48962,             0.70294,              0.6314,             0.29758,            0.049886,            0.012986,            0.025637,            0.009406,            0.009406,            0.009406
                   8,            0.052809,            0.010627,            0.019859,             0.57763,             0.56046,             0.56563,             0.30687,            0.058778,            0.014792,            0.019561,            0.009307,            0.009307,            0.009307
                   9,             0.05113,            0.011139,            0.018614,             0.66346,             0.63334,             0.64279,             0.32679,            0.049234,            0.013325,            0.018004,            0.009208,            0.009208,            0.009208
                  10,            0.049007,            0.010014,            0.015403,             0.66238,             0.69728,             0.75461,             0.43129,             0.04459,            0.012832,            0.017339,            0.009109,            0.009109,            0.009109
                  11,            0.043311,           0.0098274,            0.014846,             0.74931,             0.77488,             0.82052,             0.48616,            0.041112,             0.01101,            0.013785,             0.00901,             0.00901,             0.00901
                  12,            0.048199,           0.0092101,            0.012635,             0.88231,             0.79767,              0.8633,             0.52375,            0.038676,            0.010691,            0.012728,            0.008911,            0.008911,            0.008911
                  13,            0.044315,           0.0086465,            0.011259,             0.86581,             0.70011,             0.83301,             0.44821,            0.046543,            0.010355,           0.0099539,            0.008812,            0.008812,            0.008812
                  14,             0.04495,           0.0088088,           0.0096135,             0.93066,             0.78136,             0.88486,             0.55046,            0.038796,            0.010201,            0.010011,            0.008713,            0.008713,            0.008713
                  15,            0.042459,           0.0091988,           0.0093759,             0.87416,             0.80717,             0.87762,             0.48664,            0.039405,           0.0097231,           0.0083561,            0.008614,            0.008614,            0.008614
                  16,            0.040233,           0.0084523,           0.0081401,             0.89428,             0.79659,             0.85813,             0.56033,            0.040539,           0.0093655,           0.0078005,            0.008515,            0.008515,            0.008515
                  17,            0.039686,           0.0077723,           0.0076263,             0.94317,             0.80659,             0.89754,             0.61188,            0.036255,             0.00903,           0.0078831,            0.008416,            0.008416,            0.008416
                  18,            0.040435,           0.0082558,           0.0075482,             0.96012,             0.84182,             0.90765,             0.61481,            0.033682,           0.0085826,           0.0072641,            0.008317,            0.008317,            0.008317
                  19,            0.041805,           0.0079697,           0.0069785,             0.90413,             0.80969,             0.89284,              0.5706,            0.035921,           0.0095414,           0.0078128,            0.008218,            0.008218,            0.008218
                  20,            0.037428,           0.0081164,           0.0072879,             0.95166,              0.8161,             0.90175,             0.62127,            0.034679,           0.0090317,           0.0071937,            0.008119,            0.008119,            0.008119
                  21,            0.039012,           0.0080219,           0.0068864,             0.97628,             0.83327,             0.91741,             0.63525,            0.030885,           0.0088985,           0.0070054,             0.00802,             0.00802,             0.00802
                  22,            0.037597,            0.007969,           0.0075529,             0.94332,             0.85488,             0.91237,             0.66423,            0.033388,           0.0087065,           0.0069252,            0.007921,            0.007921,            0.007921
                  23,            0.034776,            0.007519,           0.0050995,             0.91169,             0.86939,             0.92064,              0.6272,            0.031657,           0.0087665,           0.0054375,            0.007822,            0.007822,            0.007822
                  24,            0.036008,           0.0074447,           0.0053256,             0.93851,             0.86936,             0.93403,             0.64792,            0.027784,           0.0083579,           0.0055472,            0.007723,            0.007723,            0.007723
                  25,            0.034303,           0.0070998,           0.0046215,             0.95362,             0.83911,             0.92015,             0.66678,            0.026154,           0.0083888,           0.0058923,            0.007624,            0.007624,            0.007624
